Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
1.800m2 MBKD hạng A* toà nhà góc phố Lý Thường Kiệt,"
1 Triệu/m²/tháng","
1800 m²","
Hoàn Kiếm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/25/20230425144213-1239_wm.jpg']
"Cho thuê mặt bằng KD đẹp nhất phố 12M Cát Linh 230m2 x 4.5 tầng, mặt tiền 12m, showroom nội thất","
Thỏa thuận","
Không xác định","
Đống Đa - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/24/20230424110008-8d00_wm.jpg']
"Cho thuê tòa nhà 23 Phan Đình Phùng,300m2 x 10tầng, mặt tiền12m, 2 hầm xe(có thuê lẻ 2-3t dưới","
Thỏa thuận","
Không xác định","
Ba Đình - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/24/20230424110551-f9c5_wm.jpg']
Cho thuê shop làm văn phòng tại KĐT Gamuda Hoàng Mai giá từ 5 - 10tr LH 0977 699 855,"
5 Triệu/tháng","
100 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/21/20230321154931-abb8_wm.jpg']
Cho thuê mặt bằng kinh doanh tại KĐT Gamuda Gardens LH 0977 699 855,"
20 Triệu/tháng","
100 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/21/20230321105151-4610_wm.jpg']
Cho thuê rẻ ngay 200 và 600m2 tầng 1 ở tòa nhà HH Trung Kính,"
330 Nghìn/m²/tháng","
600 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/06/20230306143439-eb64_wm.jpg']
"Cho thuê nhà mặt phố Trung Hòa 230m2, 5 tầng, căn góc 2 mặt tiền 25m, thông sàn, ngã tư sầm uất","
Thỏa thuận","
230 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/01/17/20220117172705-a2a1_wm.jpg']
"Cho thuê nhà mặt phố Lý Thường Kiệt, 1000m2 đất, xây 400m2 x 2T, mặt tiền hơn 30m (xem ảnh), có sân","
Thỏa thuận","
1000 m²","
Hoàn Kiếm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/03/21/20220321172314-c3ff_wm.jpg']
"Cho thuê nhà mặt phố 148 Trần Duy Hưng, 90m2, mặt tiền 7m, có hầm xe, nhà thông sàn - 0976.075019","
50 Triệu/tháng","
90 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2020/08/11/20200811152245-840c_wm.jpg']
Cho thuê nhà mới - Full NT - khu đường số Tân Quy Q7 - Dt 3x12 - 3 Lầu + 4pn - Giá 12 tr,"
12 Triệu/tháng","
36 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/18/20230618160820-87e5_wm.jpg']
✅✅ cho thuê nhà nguyên căn - HXH tới cửa - Đường phạm Hữu Lầu Q 7- Dt 5x6 - Lầu + 2pn - Giá 7 triệu,"
7 Triệu/tháng","
30 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/15/20230615132044-6479_wm.jpg']
"Cho thuê nhà trệt lầu mới và đất trống góc 2 mặt tiền đường 3/2, ninh kiều, cần thơ, nhà gần ngã tư","
60 Triệu/tháng","
300 m²","
Ninh Kiều - Cần Thơ",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614114003-efbb_wm.jpg']
❤❤cho thuê nhà nguyên căn - HXH 49 phạm Hữu Lầu Q 7- Dt 5x10 - 2pn - Giá rẻ 6.5 triệu,"
6.5 Triệu/tháng","
50 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/18/20230618120957-e482_wm.jpg']
📢📢Cho thuê căn hộ 3pn - trống - cc BellezaQ 7- Dt 124m2 - Giá 10 triệu - có ban công,"
10 Triệu/tháng","
124 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/04/20230604094119-b2db_wm.jpg']
Cho thuê căn hộ 3pn full đồ đẹp tòa The Zen Gamuda giá 14tr LH 0977699855,"
14 Triệu/tháng","
98 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/27/20230327125244-f4f7_wm.jpg']
"Cập nhật giỏ hàng nhà phố - biệt thự Palm Residence cho thuê, 3 tầng, giá tốt","
45 Triệu/tháng","
102 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629113739-1d03_wm.jpg']
Cho thuê căn hộ 2PN có nội thất liền kề KCN Amata,"
6 Triệu/tháng","
70 m²","
Biên Hòa - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623113437-ad0d_wm.jpg']
"Cho thuê biệt thự Villa Thủ Thiêm, Thạnh Mỹ Lợi. Diện tích 220m2. Giá tốt. Lh 0903652452 Mr. Phú.","
85 Triệu/tháng","
220 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629113154-8b4d_wm.jpg']
"Cho thuê tòa nhà văn phòng có tầng hầm trung tâm Biên Hòa, 800m2 sàn sử dụng","
100 Triệu/tháng","
216 m²","
Biên Hòa - Đồng Nai",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/09/20230509115955-078a_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115955-078a_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115957-87ad_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115959-998e_wm.jpg']"
"Cho thuê biệt thự, liền kề xây thô hoặc hoàn thiện KĐT Đại Kim, Nguyễn Xiển. LH 0986 786 568","
15 Triệu/tháng","
82 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/11/24/20221124160258-9c63_wm.jpeg']
Hiếm cho thuê 2PN đồ cơ bản Royal City giá 16tr/Th (giá thật không phải giá ảo) LH: 0912.396.400,"
16 Triệu/tháng","
102 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/10/12/20221012143852-78c0_wm.jpeg']
"Cho thuê Royal City căn 2PN (full đồ đẹp xịn), LH: 0912 396 400 - Miễn trung gian","
20 Triệu/tháng","
Không xác định","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/26/20220926093904-4f51_wm.jpeg']
"Cho thuê kho, nhà xưởng, đất tại đường Tỉnh lộ 356, Phường Đông Hải 1, Hải An, Hải Phòng","
110 Nghìn/m²/tháng","
7500 m²","
Hải An - Hải Phòng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/21/20230621103834-675c_wm.jpg']
"Biệt thự cho thuê tại Riviera Cove, DT 500m2 đất, 3 tầng, 4PN, sân vườn rộng","
45 Triệu/tháng","
500 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614112026-ebce_wm.jpg']
"Cho thuê mặt bằng mặt tiền ngang 28m đường đồng văn cống, an thới, bình thủy, cần thơ, DTSD: 1500m2","
50 Triệu/tháng","
1500 m²","
Bình Thủy - Cần Thơ",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614112022-fc7a_wm.jpg']
📢📢Cho thuê căn hộ 3pn - trống - cc BellezaQ 7- Dt 124m2 - Giá 10 triệu - có ban công,"
10 Triệu/tháng","
124 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/04/20230604094119-b2db_wm.jpg']
Cho thuê căn hộ 3pn full đồ đẹp tòa The Zen Gamuda giá 14tr LH 0977699855,"
14 Triệu/tháng","
98 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/27/20230327125244-f4f7_wm.jpg']
"Cập nhật giỏ hàng nhà phố - biệt thự Palm Residence cho thuê, 3 tầng, giá tốt","
45 Triệu/tháng","
102 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629113739-1d03_wm.jpg']
Cho thuê căn hộ 2PN có nội thất liền kề KCN Amata,"
6 Triệu/tháng","
70 m²","
Biên Hòa - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623113437-ad0d_wm.jpg']
"Cho thuê biệt thự Villa Thủ Thiêm, Thạnh Mỹ Lợi. Diện tích 220m2. Giá tốt. Lh 0903652452 Mr. Phú.","
85 Triệu/tháng","
220 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629113154-8b4d_wm.jpg']
"Cho thuê tòa nhà văn phòng có tầng hầm trung tâm Biên Hòa, 800m2 sàn sử dụng","
100 Triệu/tháng","
216 m²","
Biên Hòa - Đồng Nai",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/09/20230509115955-078a_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115955-078a_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115957-87ad_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/09/20230509115959-998e_wm.jpg']"
"Cho thuê biệt thự, liền kề xây thô hoặc hoàn thiện KĐT Đại Kim, Nguyễn Xiển. LH 0986 786 568","
15 Triệu/tháng","
82 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/11/24/20221124160258-9c63_wm.jpeg']
Hiếm cho thuê 2PN đồ cơ bản Royal City giá 16tr/Th (giá thật không phải giá ảo) LH: 0912.396.400,"
16 Triệu/tháng","
102 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/10/12/20221012143852-78c0_wm.jpeg']
"Cho thuê Royal City căn 2PN (full đồ đẹp xịn), LH: 0912 396 400 - Miễn trung gian","
20 Triệu/tháng","
Không xác định","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/26/20220926093904-4f51_wm.jpeg']
"Cho thuê kho, nhà xưởng, đất tại đường Tỉnh lộ 356, Phường Đông Hải 1, Hải An, Hải Phòng","
110 Nghìn/m²/tháng","
7500 m²","
Hải An - Hải Phòng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/21/20230621103834-675c_wm.jpg']
"Biệt thự cho thuê tại Riviera Cove, DT 500m2 đất, 3 tầng, 4PN, sân vườn rộng","
45 Triệu/tháng","
500 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614112026-ebce_wm.jpg']
"Cho thuê mặt bằng mặt tiền ngang 28m đường đồng văn cống, an thới, bình thủy, cần thơ, DTSD: 1500m2","
50 Triệu/tháng","
1500 m²","
Bình Thủy - Cần Thơ",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614112022-fc7a_wm.jpg']
CHO THUÊ NHÀ NGUYÊN CĂN THẠNH XUÂN 43,"
4300.00 Tỷ/tháng","
60 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/02/20230602112040-8171_wm.jpg']
CHO THUÊ NHÀ NGUYÊN CĂN THẠNH LỘC 47,"
8500.00 Tỷ/tháng","
120 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/02/20230602111403-1036_wm.jpg']
Gia đình mình cần cho thuê CH 3 ngủ tòa P11 - Vinhomes Times City Park Hill,"
22 Triệu/tháng","
120 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/19/20220919155737-44c6_wm.jpg']
"Chính chủ cho thuê căn hộ Times City nhà đẹp tòa P08 - Park Hill giá 14tr/th, MTG","
14 Triệu/tháng","
80 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/07/01/20220701171616-d0bc_wm.jpg']
"Mỹ Đình, Nam Từ Liêm, Cầu Diễn 1500m2 kho xưởng cho thuê 0967093118","
115 Nghìn/m²/tháng","
1500 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/11/12/20211112112052-4e92_wm.jpg']
"Chính chủ cho thuê căn 03 PN nội thất cao cấp - DT 110m2 - Siêu vip tòa T07, view nhạc nước","
20 Triệu/tháng","
110 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/10/20/20211020131526-915c_wm.jpg']
"Nam Từ Liêm, Mỹ Đình, Cầu Diễn, đường 32 Hồ Tùng Mậu 1600m2 kho xưởng cho thuê, 0967093118","
80 Nghìn/m²/tháng","
1600 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/05/04/20210504114138-1b79_wm.jpg']
"Cho thuê Tecco Bình Dương cổng sau Vsip1, giá 4tr/th 0989337446","
3.5 Triệu/tháng","
57 m²","
Thuận An - Bình Dương",29/06/2023,['https://img.dothi.net/crop/170x115/2022/07/15/20220715151618-df51_wm.jpg']
"Cho thuê Kho, Xưởng tại Đường Cổ Loa, Xã Cổ Loa, Đông Anh, Hà Nội diện tích 1000m2","
50 Nghìn/m²/tháng","
1000 m²","
Đông Anh - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628104551-3029_wm.jpg']
"Cho thuê văn phòng ngay ngã tư Đại Lộ Thăng Long, đối diện trung tâm hội nghị quốc gia","
9 Triệu/tháng","
55 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623105233-82a1_wm.jpg']
"Cho thuê đất 2 mặt tiền ngang 12m đường trần phú, ninh kiều, cần thơ, cặp bên tòa nhà SOJI & vincom","
70 Triệu/tháng","
692 m²","
Ninh Kiều - Cần Thơ",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614105109-69b8_wm.jpg']
"Cho thuê nhà riêng tại Đường Văn Cao, Ngô Quyền, Hải Phòng diện tích 75m2 giá 8 Triệu/tháng","
8 Triệu/tháng","
75 m²","
Ngô Quyền - Hải Phòng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629104845-5d33_wm.jpg']
"Cho thuê rẻ căn biệt thự góc KDC Phú Mỹ,Hoàng Quốc Việt,Quận 7","
50 Triệu/tháng","
229 m²","
Quận 7 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627103646-d97c_wm.jpeg']
Chỉ với 7tr bạn có thể sử dụng tiện ích cao cấp 4 sao tại TT Biên Hoà,"
7 Triệu/tháng","
47 m²","
Biên Hòa - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617104656-8437_wm.jpg']
Cho thuê villa to ở Hoàn Kiếm và lân cận hợp đồng lâu dài,"
Thỏa thuận","
430 m²","
Hoàn Kiếm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/01/17/20230117170303-fa63_wm.jpg']
Cho thuê mẫu giáo nhà trẻ 1.000m2 x 3 tầng khu Nguyễn Văn Huyên - Tây hồ Tây,"
Thỏa thuận","
3000 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/01/10/20230110153636-0002_wm.jpg']
Cho thuê biệt thự song lập 150 m2. chỉ 26 triệu tại Vinhomes Ocean Park Gia Lâm,"
2.60 Triệu/tháng","
150 m²","
Gia Lâm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629104844-1ced_wm.jpg']
"Cho thuê góc, VIP rộng nhất Vinhomes Skylake 4PN, 3WC, dt 170m2, đủ đồ đẹp, view trọn hồ","
Thỏa thuận","
170 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/13/20230513104540-012c_wm.jpg']
"Cho thuê rẻ 9.000m2 x 4tầng làm đại siêu thị, outlet... Ở Tô Hiệu - Hà Nội","
120 Nghìn/m²/tháng","
9000 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/03/20230303154644-f19d_wm.jpg']
Cho thuê căn hộ Terra Rosa Khang Nam 2PN/2WC view thoáng mát giá 5.8tr/tháng,"
5.8 Triệu/tháng","
81 m²","
Bình Chánh - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2022/12/07/20221207093746-33ef_wm.jpg']
Cho thuê căn hộ Terra Rosa xã Phong Phú - 92 m2 - 2PN - 2WC - giá 6 triệu/tháng. Lh 0965 966 376,"
6 Triệu/tháng","
92 m²","
Bình Chánh - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2022/08/16/20220816101446-4363_wm.jpg']
Cho thuê nhà 1.000m2 x 4 tầng mặt Vành Đai 3 - Gamuda mặt tiền 50 mét,"
200 Nghìn/m²/tháng","
1000 m²","
Hoàng Mai - Hà Nội",29/06/2023,['/Images/no-photo170.png']
Cho thuê trường mầm non 1.000m2 x 3 tầng khu Hoàng Quốc Việt - Starlake,"
Thỏa thuận","
3000 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/12/19/20221219144453-f4d0_wm.jpg']
Cho thuê vào ở luôn biệt thự song lập mới hoàn thiện tại dự án Vinhomes Gia Lâm,"
28 Triệu/tháng","
150 m²","
Gia Lâm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/05/27/20220527143737-8285_wm.jpg']
Cho thuê ngay 1.500m2 tầng 2 toà nhà Ngọc Khánh - Giảng Võ với giá rẻ,"
190 Nghìn/m²/tháng","
1500 m²","
Ba Đình - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/05/11/20220511114719-d418_wm.jpg']
"Cho thuê nhà đường Trần Thị Diệu (đ61), PLB, Quận 9","
15 Triệu/tháng","
120 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626103819-308a_wm.jpg']
Cho thuê nhà mặt tiền Nguyễn Văn Linh kinh doanh phù hợp nhiều loại hình,"
30 Triệu/tháng","
125 m²","
Thanh Khê - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626103540-98e2_wm.jpg']
Cơ hội sở hữu căn hộ đầy đủ tiện ích ngay giữa lòng TP Biên Hoà chỉ 7tr,"
7 Triệu/tháng","
47 m²","
Biên Hòa - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620104009-eeb8_wm.jpg']
"Cho thuê căn hộ 3 phòng ngủ đủ đồ tòa Vimeco II Nguyễn Chánh, giao nhà ngay","
Thỏa thuận","
124 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/26/20230526120237-3104_wm.jpg']
"Cần cho thuê mặt bằng, giá rẻ, đường Trần Hưng Đạo, Quận 5, 10x25m, 3 lầu","
280 Triệu/tháng","
250 m²","
Quận 5 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2020/03/09/20200309154646-6e88_wm.jpg']
"2MT Trần Hưng Đạo, quận 5 khúc đẹp chính chủ nhà đang cần cho thuê 65 - 70tr/th","
Thỏa thuận","
1503 m²","
Quận 5 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2022/10/27/20221027184023-a58d_wm.jpg']
"Cho thuê nhà mặt tiền Lê Lai, P. Phạm Ngũ Lão, Quận 1, kinh doanh tự do, 8.5*20m. 270tr/th","
270 Triệu/tháng","
170 m²","
Quận 1 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2020/02/22/20200222154133-a8bd_wm.jpg']
"Cho thuê VP MP Nguyễn Khánh Toàn, Cầu Giấy, DT 35m2 - 50m2, MT 5m, sàn mới cực đẹp. LH 0964.05.2828","
6 Triệu/tháng","
50 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2020/05/08/20200508151338-2146_wm.jpg']
Cho thuê 70 - 250m2 văn phòng hạng A giá chỉ từ 170k/m2/th tại Hà Đông,"
Thỏa thuận","
6000 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/12/19/20221219145636-cfa7_wm.jpg']
Cho thuê ngay 1.600m2 hạng A ở Trường Chinh giá chỉ 260.000đ/m2,"
260 Nghìn/m²/tháng","
1600 m²","
Thanh Xuân - Hà Nội",29/06/2023,['/Images/no-photo170.png']
Cho thuê căn góc 3PN Mường Thanh Viễn Triều - Nha Trang 140m 15tr,"
15 Triệu/tháng","
140 m²","
Nha Trang - Khánh Hòa",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626103446-cc65_wm.jpg']
"Cho thuê căn chung cư tòa C đường Nguyễn Cơ Thạch Mỹ Đình 1, dt 100m2, giá 12tr/th","
12 Triệu/tháng","
100 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620103202-6024_wm.jpg']
Cho thuê căn góc 3 phòng ngủ tòa Times,"
17 Triệu/tháng","
110 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614103044-38e8_wm.jpg']
"Chính chủ cho thuê nhà MT Ngô Gia Tự, Q10. DTSD: 250m2","
5.45 Tỷ/tháng","
250 m²","
Quận 10 - Hồ Chí Minh",29/06/2023,['/Images/no-photo170.png']
"Nhà xưởng trong KCN Nghi Sơn - Thanh Hoá, DT từ 500m2, 1000,2000,3000,10.000,5hecta giá 40k/m2/th","
20 Triệu/tháng","
500 m²","
Tĩnh Gia - Thanh Hóa",29/06/2023,['https://img.dothi.net/crop/170x115/2021/11/18/20211118214208-b23f_wm.jpg']
"Cho thuê 1800m2 nhà xưởng trong KCN Nghi Sơn mới xây dựng, sản xuất mọi ngành nghề","
45 Nghìn/m²/tháng","
1800 m²","
Tĩnh Gia - Thanh Hóa",29/06/2023,['/Images/no-photo170.png']
"Cho thuê nhà nguyên căn mặt tiền đường Nguyễn Thị Minh Khai, P5, Quận 3","
50 Triệu/tháng","
90 m²","
Quận 3 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2020/02/29/20200229181003-dc8f_wm.jpg']
"Cho thuê nhà nguyên căn mặt tiền Nguyễn Thị Minh Khai, P5, quận 3, 130m, 60tr","
60 Triệu/tháng","
110 m²","
Quận 3 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2020/02/18/20200218151619-14a2_wm.jpg']
"Cho thuê 3000m2 kho, nhà xưởng Bình Chuẩn ngay cao tốc Mỹ Phước Tân Vạn và Quốc Lộ 13 giá rẻ","
140 Triệu/tháng","
3000 m²","
Thuận An - Bình Dương",29/06/2023,['/Images/no-photo170.png']
"Cho thuê kho, xưởng*1500m2 đường Lò Lu, P. Trường Thạnh, Q9, tp Thủ Đức","
50 Triệu/tháng","
1500 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/31/20230531093918-792e_wm.jpg']
"Cho thuê kho xưởng*1000m2 gần đường Phan Huy Ích, Phường 14, Quận Gò Vấp","
110 Triệu/tháng","
1000 m²","
Gò Vấp - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/16/20230516151133-c6bd_wm.jpg']
"Chính chủ cho thuê sàn văn phòng tầng 3,4 nằm trong tòa nhà 5 tầng tại số 35 đường Cầu Bươu","
4 Triệu/tháng","
75 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/05/20230505113130-e5ca_wm.jpg']
Penthouse duy nhất tại dự án Feliz en Vista cho thuê LH: 0334. 237. 251,"
160 Triệu/tháng","
335 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/10/20230410152157-ed06_wm.jpg']
"Cho thuê kho 1200m2 KCN Cát Lái, Quận 2, TP. HCM","
129.6 Nghìn/m²/tháng","
1200 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/24/20220924192931-625d_wm.jpg']
"Cho thuê kho xưởng mới 2560m2 trong KCN Phú An Thạnh, Bến Lức, Tỉnh Long An","
282 Triệu/tháng","
2560 m²","
Bến Lức - Long An",29/06/2023,['https://img.dothi.net/crop/170x115/2022/08/21/20220821193538-5ce8_wm.jpg']
"Cho thuê kho xưởng mới 2220m2 trong KCN Nhơn Trạch, Tỉnh Đồng Nai","
204 Triệu/tháng","
2220 m²","
Nhơn Trạch - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2022/06/04/20220604182108-4620_wm.jpg']
"Cho thuê kho 3.500m2 trong cụm công nghiệp Hố Nai, gần KCN Sông Mây, Trảng Bom, Đồng Nai","
50.1 Nghìn/m²/tháng","
3500 m²","
Trảng Bom - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2022/04/18/20220418141749-5f32_wm.jpg']
"Cho thuê sàn văn phòng mới 80 m2/tầng, thông sàn, điều hòa âm trần đầy đủ","
11 Triệu/tháng","
80 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/05/23/20220523090919-bd90_wm.jpg']
"Cho thuê căn hộ chung cư Goldmark City, 107m2, 3PN, nội thất thiết kế đẹp (đang trống - ảnh thật)","
16 Triệu/tháng","
107 m²","
Bắc Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617102153-9d36_wm.jpg']
CHO THUÊ NHÀ NGUYÊN CĂN 4 TẦNG ĐÃ HOÀN THIỆN CƠ BẢN TẠI KHU A GELEXIMCO,"
12 Triệu/tháng","
80 m²","
Hoài Đức - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/05/20230605102223-0465_wm.jpg']
Căn hộ 2PN nội thất cơ bản giá chỉ 6tr ngay TT TP. Biên Hoà,"
6 Triệu/tháng","
65 m²","
Biên Hòa - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/02/20230602102230-80cb_wm.jpg']
"Đang trống cần cho thuê luôn xưởng tại phố Đức Giang, Long Biên. Mặt đường xe cont đi qua","
180 Triệu/tháng","
2700 m²","
Long Biên - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/10/21/20221021140306-a1dd_wm.jpg']
"Chính chủ cho thuê 200m2 kho - xưởng khu đô thị Thanh Hà Cienco 5, Hà Đông, Hà Nội","
55 Nghìn/m²/tháng","
200 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/05/30/20220530103044-0413_wm.jpg']
"Chào thuê tòa nhà 150m*8 tầng phố Trần Thái Tông, giá hợp lý sẵn bàn giao tới khách hàng.","
Thỏa thuận","
150 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629102431-f73c_wm.jpg']
Cho Thuê Căn Hộ Ngắn Hạn Theo Ngày Tại Bình Thạnh -  TPHCM,"
Thỏa thuận","
Không xác định","
Bình Thạnh - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/29/20230429131452-8e3d_wm.jpg']
