Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
Nhà mặt tiền Nguyễn Thượng Hiền Bình Thạnh 4x20m. Giá 8 tỷ 8,"
8.8 Tỷ","
80 m²","
Bình Thạnh - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/26/20230326083054-d0c7_wm.jpg']
"Bán shophouse lô góc 3 mặt đường, MT 25m, mặt đường đôi 40m, trục chính, vị trí đẹp, kinh doanh tốt","
138 Tỷ","
325 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/17/20230217165908-6c55_wm.jpeg']
"Bán nhà mặt phố tại Đường Ao Sen, Phường Mỗ Lao, Hà Đông, Hà Nội diện tích 45m2","
Thỏa thuận","
45 m²","
Hà Đông - Hà Nội",29/06/2023,['/Images/no-photo170.png']
"Nhà mặt phố Dương Văn Bé, mặt tiền 10m kinh doanh tốt, 185m2, giá 50 tỷ, 0985868893","
50 Tỷ","
185 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626232616-10f6_wm.jpg']
Bán đất  số 372  mặt phố Trần Điền DT 136m2 đường mới mặt chính đường 2.5 đại kim vỉa hè rộng kinh,"
Thỏa thuận","
Không xác định","
Hoàng Mai - Hà Nội",29/06/2023,['/Images/no-photo170.png']
NHÀ MỚI AN DƯƠNG – TINH TẾ - HƯỞNG THỤ - 5 TẦNG – 31M -  4.35 TỶ,"
4.35 Tỷ","
31 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/11/20230611232832-f8ea_wm.jpg']
"Nhà đẹp An Dương - ở ngay, Lô góc, gần phố - tiện ích đầy đủ 36m2, 5 tầng, 4.5 tỷ","
4.5 Tỷ","
36 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/10/20230210220834-cec1_wm.jpg']
"Bán nhà Âu Cơ mới đẹp, ở luôn gần phố - ngõ thông 34m2 6 tầng 4.3 tỷ","
4.3 Tỷ","
34 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/02/20230202053333-0036_wm.jpg']
Chính chủ bán gấp shophouse siêu hiếm đường 30m và căn góc đường 21m cực sầm uất,"
20 Tỷ","
69 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/11/01/20221101201541-32c1_wm.jpeg']
"Bán nhà Đền Lừ 1, mặt tiền 7m kinh doanh tốt, 90m2, 16.2 tỷ, 0867195893","
16.2 Tỷ","
90 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/03/16/20220316232158-1ff9_wm.jpg']
Chính chủ bán gấp căn shophouse góc đường 30m siêu vip. LH: 0986.78.65.68,"
25 Tỷ","
130 m²","
Hoàng Mai - Hà Nội",29/06/2023,['/Images/no-photo170.png']
"38 tỷ Cho Căn Biệt thự Cityland Park Hills giá chỉ 38 tỷ, DT: 220m2 ...","
38 Tỷ","
220 m²","
Gò Vấp - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629213205-7731_wm.jpg']
"Thuận An, TT Trâu Quỳ, Gia Lâm 27,6 tỷ, 164m2 hợp đồng thuê 120tr/tháng","
27.6 Tỷ","
164 m²","
Gia Lâm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623205601-c556_wm.jpg']
"Bán nhà Phú Đô phân lô nội thất vip, 37m2 ngõ thông 4,2 tỷ","
4.2 Tỷ","
37 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/17/20230617212513-d2dc_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/17/20230617212513-d2dc_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/17/20230617212520-0ecb_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/17/20230617212520-d74e_wm.jpg']"
"Bán 559m2 đất rẻ nhất đường 600A, Phú An, Huyện Tân Phú 200tr/m ngang","
2.6 Tỷ","
559 m²","
Tân Phú - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/04/20230604161244-3a64_wm.jpg']
"Bán khách sạn MT Nguyễn Du, Tân Phước, Thị xã Lagi rẻ nhất sát biển","
15 Tỷ","
655 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/21/20230421133755-0a90_wm.jpg']
"Hòa Bình 7 (Minh Khai), ô tô vào nhà, 217m2, MT 6.6m, giá 105 triệu/m2, 0985868893","
22.8 Tỷ","
217 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/08/20230208235030-bffe_wm.jpg']
"Nhà mặt phố Lĩnh Nam, mặt chợ đêm, đã xây lùi, 95m2, MT 7m, giá 15.8 tỷ, 0985868893","
15.8 Tỷ","
95 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/01/20220901092657-3384_wm.jpg']
"Khu đô thị Vĩnh Hoàng, 112m2 x 6T thang máy, MT 5m, 21 tỷ, 0985868893","
21 Tỷ","
112 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/03/09/20220309210527-bdf9_wm.jpg']
"Bán nhà C4 mặt phố Thái Thịnh,Đống Đa 217M +86 Tỷ-MT10m-KD nhà hàng","
86 Tỷ","
217 m²","
Đống Đa - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629212904-c0e1_wm.jpg']
"Bán nhà Nguyễn Thị Định,quận Cầu Giấy,51M x5T,MT 4.1M-Hiếm-Ô tô đỗ cửa-Chủ thiện chí-chỉ 8.6 tỷ","
8.6 Tỷ","
51 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629212813-f7a0_wm.jpg']
"Cách mặt tiền Trần Hưng Đạo 50m - trung tâm Q5 - 28m2 - 2 tầng - chỉ 3,8 tỷ","
3.8 Tỷ","
28 m²","
Quận 5 - Hồ Chí Minh",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/29/20230629212419-a4d4_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629212419-a4d4_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629212420-3872_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629212420-3a58_wm.jpg']"
"Bán nhà 4T KĐT Văn Quán, Hà Đông, 66m2 – 12.2 tỷ, Mới đẹp – Full tiện ích – Gần phố - Ngõ thông.","
12.2 Tỷ","
66 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614130300-1d09_wm.jpg']
"Bán căn hộ chung cư CT3 – Xa La, Hà Đông, 104m2 – 2.65 tỷ, Căn góc – Mới đẹp – Full tiện ích.","
2.65 Tỷ","
104 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614225955-8485_wm.jpg']
"Bán nhà 3 tầng hẻm trung tâm thành phố Nha Trang, đường 2/4 gần chợ đầm","
2.3 Tỷ","
47 m²","
Nha Trang - Khánh Hòa",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620212455-de62_wm.jpg']
"Cần bán CH Thái An 2 Q12 DT 73m2 giá 2,560 tr đã có sổ ngân hàng hỗ trợ 70% LH 0937606849 Như Lan","
2.56 Triệu","
73 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,"['https://img.dothi.net/crop/170x115/2022/04/23/20220423152836-7d04_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/23/20220423152836-7d04_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/23/20220423152839-fba5_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/23/20220423152845-0db2_wm.jpg']"
Cần bán căn hộ Thái An 3&4 Q12 gần KCN Tân Bình DT 40m2 giá 999tr lầu cao LH 0937606849 Như Lan,"
999 Triệu","
40 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,"['https://img.dothi.net/crop/170x115/2022/04/16/20220416153045-6404_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/16/20220416153045-6404_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/16/20220416153053-4197_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/04/16/20220416153102-4d01_wm.jpg']"
"Chính chủ bán gấp CC Times Tower Lê Văn Lương, căn 1603 - T1(128m2) nhà đẹp, đủ đồ 0937 - 085 - 668","
5.5 Tỷ","
128 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/11/27/20211127155027-ab06_wm.jpg']
"Nhà mặt ngõ 121 Lê Thanh Nghị (205 Giải Phóng), 68m2, MT 4m, giá 10.9 tỷ, 0867195893","
10.9 Tỷ","
68 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/26/20230526122512-bc9f_wm.jpg']
"Nhà mặt ngõ 454 Minh Khai, gần Bệnh viện Dệt May, 52m2 x 4T, giá 10.5 tỷ, 0867195893","
10.5 Tỷ","
52 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/26/20230526120540-9189_wm.jpg']
"Chỉ 113 triệu/m2 nhà mặt ngõ 156 Dương Văn Bé, ô tô tránh, 95m2, MT 5m, 0867195893","
10.8 Tỷ","
95 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/26/20230526112833-4ef6_wm.jpg']
"Bán nhà Xuân Phương - gần Mỹ Đình 40m2 4 tầng - nội thất đẹp - gần đường lớn giá 2,8 tỷ","
2.8 Tỷ","
40 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/12/25/20221225095701-6610_wm.jpg']
"Nhà ngõ 72 Lĩnh Nam, ô tô tránh, vỉa hè, 70m2, mặt tiền 11m, giá 12 tỷ, 0867195893","
12 Tỷ","
70 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/08/04/20220804171734-9d72_wm.jpg']
"Nhà Nguyễn Du, ngõ kinh doanh, 10m ra phố, lô góc 50m2 x 5T, giá 12,8 tỷ, 0867195893","
12.8 Tỷ","
50 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/08/07/20220807114632-2c7b_wm.jpg']
Nhà đẹp Vân Canh - Hoài Đức 35m2 5 tầng - nội thất đẹp - gần đường lớn giá 2.5 tỷ,"
2.5 Tỷ","
35 m²","
Hoài Đức - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/01/02/20230102102326-72f5_wm.jpg']
Bán nhà Phương Canh - Nam Từ Liêm 35m2 5 tầng - gần đường lớn - Ô tô đỗ gần giá 2.9 tỷ,"
2.9 Tỷ","
35 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525090023-9131_wm.jpg']
"Nhà mặt phố Tam Trinh, dòng tiền 40 triệu/tháng, 75m2, MT 4m, giá 12.3 tỷ, 0867195893","
12.3 Tỷ","
75 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/03/20230503162931-7b1e_wm.jpg']
Nhà mặt ngõ Vân Canh - 35m2 5T - lô góc 2 thoáng - gần ô tô đỗ - có nội thất mới - giá chỉ 2.5 tỷ,"
2.5 Tỷ","
35 m²","
Hoài Đức - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/05/18/20220518131811-d064_wm.jpg']
"Bán nhà phân lô X2B Yên Sở, 87m2 x 5T, MT 5.5m, giá 12.6 tỷ, 0867195893","
12.6 Tỷ","
87 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/03/30/20220330215818-816e_wm.jpg']
"Nhà mặt phố Đê Tô Hoàng, 200m2, mặt tiền 11m, giá 16.5 tỷ, 0985868893","
16.5 Tỷ","
196 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/10/20230410101156-4981_wm.jpg']
"Nhà mặt phố Trần Nhân Tông gần ngã tư Bà Triệu, 30m2, MT 6m, giá 24 tỷ, 0985868893","
24 Tỷ","
30 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/10/20230410095610-18e1_wm.jpg']
"Minh Khai, mặt ngõ ô tô kinh doanh, mặt tiền khủng 11m, 58m2, giá 9.9 tỷ, 0867195893","
9.9 Tỷ","
58 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/10/20230410092700-5099_wm.jpg']
"Nhà mặt phố Nam Dư, 110m2 x 4 tầng đẹp, MT 4m, sổ vuông, giá 10.5 tỷ, 0867195893","
10.5 Tỷ","
110 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/09/20230309114605-3825_wm.jpg']
"Nhà mặt phố Trần Khát Chân, 37.7m2, MT 4m, nở hậu đẹp, giá 14.8 tỷ, 0867195893","
14.8 Tỷ","
37.7 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/02/20230302105557-8617_wm.jpg']
"Nhà mặt phố Minh Khai, vỉa hè 6m, DT 116m2, MT 4.5m, giá 24.8 tỷ, 0867195893","
24.8 Tỷ","
116 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/02/20230302093754-36a5_wm.jpg']
"Nhà mặt ngõ ô tô tránh Lĩnh Nam, kinh doanh, 65m2 x 7T, MT 9m, giá 17 tỷ, 0867195893","
17 Tỷ","
65 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/01/20220901082517-24b5_wm.jpg']
"Sông Sét, dòng tiền 65 triệu/tháng, giá 90 triệu/m2, 110m2, 15 phòng khép kín, 0867195893","
9.9 Tỷ","
110 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/08/10/20220810040703-b296_wm.jpg']
"Nhà Mai Động, gần mặt phố, ngõ thoáng, 102m2, MT 6.1m, giá 93 triệu/m2, 0867195893","
9.5 Tỷ","
102 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/07/19/20220719121111-03e1_wm.jpg']
"Nhà mặt phố Đê La Thành, quận Đống Đa, 31m2, 5 tầng, mặt tiền rộng, nhỉnh 4 tỷ vừa ở vừa kinh doanh","
4.65 Tỷ","
31 m²","
Đống Đa - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/31/20230531095723-cf92_wm.jpg']
"Bán gấp nhà 3 tầng 43,5m đường vỉa hè ô tô tránh ngõ 214 đường Nguyễn Xiển","
8.00 Tỷ","
43.5 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/09/20230609190514-6f0e_wm.jpg']
"Bán 60x60 đất rẻ nhất Phú An, Huyện Tân Phú 150m2 ONT đường xe hơi","
3 Tỷ","
4005 m²","
Tân Phú - Đồng Nai",29/06/2023,['/Images/no-photo170.png']
"Bán đất mặt tiền Mai Thúc Loan, Tân Hải, Thị xã LaGi giá ngộp 170tr/m ngang","
2.4 Tỷ","
1219 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/08/20230408094722-f3e0_wm.jpg']
"Bán 2.1 sào đất Nam Cát Tiên, Huyện Tân Phú giá ngộp","
2.8 Tỷ","
2141 m²","
Tân Phú - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/07/20230407211029-8519_wm.jpg']
"Bán villa Vinhomes Grand Park, căn biểu tượng, view sông, 450m2 đất, ngân hàng hỗ trợ 70%","
80 Tỷ","
450 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/04/20230404114323-63f8_wm.jpg']
"Bán căn hộ chung cư Park Kiara, Park City, Hà Đông, Nội thất 5 sao – Vị trí trung tâm – 3pn – 107m2","
7.8 Tỷ","
107 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629205009-dbdb_wm.jpg']
"Giảm chào 500tr! Nhà phố Tô Hiệu, ô tô vào, kinh doanh, 50m2 6 tầng, chỉ 7.5 tỷ","
7.5 Tỷ","
50 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/01/27/20230127230458-3aef_wm.jpg']
"BÁN NHÀ VƯỜN BCA TÂN TRIỀU, 4 TẦNG,  P LÔ, VỈA HÈ, Ô TÔ TRÁNH, 100M2, 14 TỶ 3","
14.3 Tỷ","
100 m²","
Thanh Trì - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/27/20230427225732-df89_wm.jpg']
"CẦN BÁN NHÀ KĐT BẮC LINH ĐÀM, 5 TẦNG ĐẸP,  NGÕ Ô TÔ TRÁNH, 73 M2, 12 TỶ 9","
12.9 Tỷ","
73 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/21/20230421225759-fd39_wm.jpg']
Bán nhà Hồ Tùng Mậu 34m2 ngõ thông kinh doanh giá gần 4 tỷ,"
3.85 Tỷ","
36 m²","
Cầu Giấy - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/20/20230620204257-7867_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/20/20230620204257-7867_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/20/20230620204257-8874_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/20/20230620204257-bce1_wm.jpg']"
"CẦN BÁN NHÀ MẶT PHỐ TRUNG KÍNH, 5 TẦNG ĐẸP LONG LANH, KD TẤP NẬP, 55M2, 17 TỶ 5","
17.5 Tỷ","
55 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/29/20230529232837-21ef_wm.jpg']
"Bán 30 hecta đất Tân Phúc, Huyện Hàm Tân CHƯA QUA ĐẦU TƯ","
36 Tỷ","
300000 m²","
Hàm Tân - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626203749-66bf_wm.jpg']
"Bán nhà đẹp tại đường HT 07, phường Hiệp Thành, Quận 12 đúc một trệt, một lầu","
1.39 Tỷ","
50 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/12/20230612161905-d54b_wm.jpg']
Tiền đẻ ra tiền - bán nhanh trong tháng,"
27 Tỷ","
115 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/08/20230608130521-d997_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/08/20230608130521-d997_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/08/20230608130525-67c1_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/08/20230608130528-0f93_wm.jpg']"
Bán 10x50m đất ONT Phú Xuân Núi Tượng - Huyện Tân Phú GIẢ RẺ 360tr/m ngang,"
3.6 Tỷ","
500 m²","
Tân Phú - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525200729-97d7_wm.jpg']
Bán 6259m2 đất thổ cư Trà Cổ - Huyện Tân Phú giá đầu tư đường bê tông,"
4.35 Tỷ","
6259 m²","
Tân Phú - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525195101-feb5_wm.jpg']
Bán 960m2 đất rẻ nhất Nguyễn Chí Thanh - Tân Bình - TX LaGi gần biển,"
8.3 Tỷ","
960 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/24/20230524210140-3be3_wm.jpg']
MẶT PHỐ CẦU GIẤY - RẺ CHƯA TỪNG THẤY,"
26.5 Tỷ","
112 m²","
Cầu Giấy - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/26/20230626202718-3f49_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/26/20230626202718-3f49_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/26/20230626203242-c678_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/26/20230626203246-1520_wm.jpg']"
Bán nhà Vũ trong Phụng thiết nhà mới xây diện tích 40m2 giá 3x tiểu học,"
Thỏa thuận","
40 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626203034-5e47_wm.jpg']
"Bán nhà ngõ Phố Ngô Gia Tự, phường Đức Giang, Long Biên, Hà Nội  xây 5 tầng","
2.95 Tỷ","
30 m²","
Long Biên - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/12/20230612203338-8733_wm.jpg']
"Bán nhà sổ hồng riêng đường hà Huy Giáp, phường Thạnh Xuân, Quận 12 đúc một trệt, hai lầu","
3.55 Tỷ","
60 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/12/20230612165912-0aed_wm.jpg']
"Bán căn hộ chung cư Indochina plz, 241 Xuân Thủy, căn hộ 145m2 tòa Đông, kèm slot ô tô","
Thỏa thuận","
145 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/08/20230408110530-6b55_wm.jpg']
"Bán căn hộ chung cư Vinaconex1 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, dt 206m2, 4PN, SĐCC","
34 Triệu/m²","
205 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627201237-e947_wm.jpg']
"Bán nhà mặt phố Trương Định, Hoàng Mai. DT 50m2 x 6T x MT 4m. Vỉa hè kinh doanh","
12 Tỷ","
50 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/30/20230330102949-4686_wm.jpg']
"Giá rẻ nhất khu vực phố Kim Ngưu, Quận Hai Bà Trưng, DT 90m2, 7 tầng, MT 6m, ô trước nhà 3 ô tô","
14 Tỷ","
90 m²","
Hai Bà Trưng - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/08/20230308094746-49cb_wm.jpg']
BÁN NHÀ MẶT PHỐ KIM ĐỒNG. HOÀNG MAI. THANG MÁY. GARA. DT 75M X 6T X 4M. TẶNG NỘI THẤT,"
Thỏa thuận","
75 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/01/20230601160524-d36a_wm.jpg']
BÁN NHÀ -5 TẦNG SIÊU HIẾM THANH XUÂN 3.1 TỶ NHÀ ĐẸP - GẦN MẶT PHỐ,"
Thỏa thuận","
35 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626202108-dcb1_wm.jpg']
Bán Gấp Nhà Nguyễn Khánh Toàn – 7T Thang máy – Lô Góc – Ngõ Oto Tải – Kinh Doanh - Hạ sâu 3 Tỷ.,"
12900000 Tỷ","
65 m²","
Cầu Giấy - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/05/20230605202135-5205_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/05/20230605202135-5205_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/05/20230605202144-f2a6_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/05/20230605202152-9549_wm.jpg']"
Mình chính chủ cần bán gấp 2 sào vườn trái cây đất gần Quốc Lộ 20 KCN định quán đồng nai giá 600tr,"
6 Trăm nghìn/m²","
1000 m²","
Định Quán - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/27/20230527171736-1768_wm.jpg']
"Bán nhà Nguyễn Văn Công, 4x8,5m, 3 tầng, gần bv 175","
3.9 Tỷ","
34 m²","
Gò Vấp - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/10/20230310153301-5d74_wm.jpg']
"BÁN ĐẤT CÓ SÃN MÓNG 3 TẦNG, 1/ ĐƯỜNG LÂM THỊ HỐ, Q12, HẺM XE HƠI","
3.35 Tỷ","
65 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629202218-556e_wm.jpg']
Đất gần biển 15x64 1000m2 Thôn Bình An 2 - xã Tân Bình - Thị xã LaGi,"
3 Tỷ","
1000 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626201344-ea72_wm.jpg']
"Bán đất 565 Bát Khối, 45m2 chỉ 4,5 tỷ, mặt đường trục chính, kinh doanh, mặt đường ô tô đi ngày đêm","
4.5 Tỷ","
45 m²","
Long Biên - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/11/20230611201446-2a93_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/11/20230611201446-2a93_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/11/20230611201510-08c6_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/11/20230611201526-30cc_wm.jpg']"
"Ngộp ngân hàng cần bán gấp đất Sở văn hóa thông tin 90m2=6*15, đường nhựa, 6.75 tỷ12 mét","
6.75 Tỷ","
90 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/24/20230624232919-5f27_wm.png']
Bán nhà Quan nhân - Quận Thanh Xuân 42m2 giá 3.9 tỷ,"
Thỏa thuận","
42 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626201319-987c_wm.jpg']
Đất gần biển 15x64 1000m2 Thôn Bình An 2 - xã Tân Bình - Thị xã LaGi,"
3 Tỷ","
1000 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626201006-8724_wm.jpg']
"Bán CH tại CC Đồng Phát Park View, Hoàng Mai, 81m2, 2N, 2VS cực đẹp giá chỉ 2,49 tỷ","
2.5 Tỷ","
81 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/24/20230524080251-e24b_wm.jpg']
"Cần bán khách sạn vip nhất phố cổ, với 11 tầng, 66 phòng, 2 thang máy, 1 bể bơi, 2 tầng hầm","
500 Tỷ","
327.9 m²","
Hoàn Kiếm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/15/20230515101057-1ae0_wm.jpg']
"Bán 1.1 mẫu đất Phú Thịnh, Huyện Tân Phú GIÁ ĐẦU TƯ 570 TRIỆU/ SÀO","
6.5 Tỷ","
11388 m²","
Tân Phú - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/24/20230524221604-e78d_wm.jpg']
